id,canonical_name,city,zip_code
b3adc5e8-3557-4dfd-a1ad-038f27d03d9d,"Buena Vida Homeowners Association, Inc.",Wellington,33447
96947047-6fb8-40df-8d50-7863ad7950fa,LAKE DRIVE APTS INC,Palm Beach,33447
4c614934-d661-4de9-8759-4d9cf17df8b4,LAS CASITAS PL 3,Wellington,33447
c12073d6-46c0-4263-8e71-6f5de80ee32e,LAS CASITAS PL 4,Wellington,33447
351ce6e4-d8d8-428b-9bde-6fbc379b31a8,"Polo Homeowners Association, Inc.",Wellington,33447
53daddc7-4726-4009-91db-a3e37c4a6aa2,Ponte Verde At Palm Beach Lakes Condomin,West Palm Beach,33179
ff067656-146b-494e-b8b0-9520b5f4a411,"Riverwalk Homeowners Association, Inc.",Jupiter,33456
44d75334-4554-42b1-bee1-202beada1f55,"Sonoma Isles Homeowners Association, Inc.",Jupiter,33468
b433f18e-dbd3-4690-ba57-b71d798dd438,South Bay Amended,South Bay,33493
c3944a4d-9698-4f2c-a324-39f068344df1,Tiffany Lake Phase I,Mangonia Park,33126
bdaaa266-f0c8-4812-b56b-88cee6ba5603,VILLA LAGO,South Bay,33493
